 5.50000000e+01 -4.38301139e-04  5.50000000e+01 -9.73255440e-05  5.50000000e+01 -7.00000000e+00 
 6.00000000e+01 -5.06153797e-04  6.00000000e+01 -1.11982709e-04  6.00000000e+01 -7.00000000e+00 
 6.50000000e+01 -5.78751649e-04  6.50000000e+01 -1.27761077e-04  6.50000000e+01 -7.00000000e+00 
 7.00000000e+01 -6.56134706e-04  7.00000000e+01 -1.44649067e-04  7.00000000e+01 -7.00000000e+00 
 7.50000000e+01 -7.38333729e-04  7.50000000e+01 -1.62637714e-04  7.50000000e+01 -7.00000000e+00 
 8.00000000e+01 -8.25371720e-04  8.00000000e+01 -1.81720266e-04  8.00000000e+01 -7.00000000e+00 
 8.50000000e+01 -9.17265495e-04  8.50000000e+01 -2.01891745e-04  8.50000000e+01 -7.00000000e+00 
 9.00000000e+01 -1.01402712e-03  9.00000000e+01 -2.23148545e-04  9.00000000e+01 -7.00000000e+00 
 9.50000000e+01 -1.11566511e-03  9.50000000e+01 -2.45488083e-04  9.50000000e+01 -7.00000000e+00 
 1.00000000e+02 -1.22218540e-03  1.00000000e+02 -2.68908533e-04  1.00000000e+02 -7.00000000e+00 
 1.05000000e+02 -1.33359206e-03  1.05000000e+02 -2.93408614e-04  1.05000000e+02 -7.00000000e+00 
 1.10000000e+02 -1.44988784e-03  1.10000000e+02 -3.18987432e-04  1.10000000e+02 -7.00000000e+00 
 1.15000000e+02 -1.57107458e-03  1.15000000e+02 -3.45644366e-04  1.15000000e+02 -7.00000000e+00 
 1.20000000e+02 -1.69715351e-03  1.20000000e+02 -3.73378986e-04  1.20000000e+02 -7.00000000e+00 
 1.25000000e+02 -1.82812541e-03  1.25000000e+02 -4.02190996e-04  1.25000000e+02 -7.00000000e+00 
 1.30000000e+02 -1.96399076e-03  1.30000000e+02 -4.32080188e-04  1.30000000e+02 -7.00000000e+00 
 1.35000000e+02 -2.10474989e-03  1.35000000e+02 -4.63046419e-04  1.35000000e+02 -7.00000000e+00 
 1.40000000e+02 -2.25040296e-03  1.40000000e+02 -4.95089587e-04  1.40000000e+02 -7.00000000e+00 
 1.45000000e+02 -2.40095007e-03  1.45000000e+02 -5.28209621e-04  1.45000000e+02 -7.00000000e+00 
 1.50000000e+02 -2.55394422e-03  1.50000000e+02 -5.61868070e-04  1.50000000e+02 -7.00000000e+00 
 1.55000000e+02 -2.71427920e-03  1.55000000e+02 -5.97141644e-04  1.55000000e+02 -7.00000000e+00 
 1.60000000e+02 -2.87950861e-03  1.60000000e+02 -6.33492034e-04  1.60000000e+02 -7.00000000e+00 
 1.65000000e+02 -3.04963207e-03  1.65000000e+02 -6.70919147e-04  1.65000000e+02 -7.00000000e+00 
 1.70000000e+02 -3.22464958e-03  1.70000000e+02 -7.09422965e-04  1.70000000e+02 -7.00000000e+00 
 1.75000000e+02 -3.40456108e-03  1.75000000e+02 -7.49003475e-04  1.75000000e+02 -7.00000000e+00 
 1.80000000e+02 -3.58936656e-03  1.80000000e+02 -7.89660667e-04  1.80000000e+02 -7.00000000e+00 
 1.85000000e+02 -3.77906598e-03  1.85000000e+02 -8.31394531e-04  1.85000000e+02 -7.00000000e+00 
 1.90000000e+02 -3.97365932e-03  1.90000000e+02 -8.74205060e-04  1.90000000e+02 -7.00000000e+00 
 1.95000000e+02 -4.17314654e-03  1.95000000e+02 -9.18092245e-04  1.95000000e+02 -7.00000000e+00 
 2.00000000e+02 -4.37752762e-03  2.00000000e+02 -9.63056081e-04  2.00000000e+02 -7.00000000e+00 
 2.05000000e+02 -4.58680255e-03  2.05000000e+02 -1.00909656e-03  2.05000000e+02 -7.00000000e+00 
 2.10000000e+02 -4.80097129e-03  2.10000000e+02 -1.05621369e-03  2.10000000e+02 -7.00000000e+00 
 2.15000000e+02 -5.02003383e-03  2.15000000e+02 -1.10440744e-03  2.15000000e+02 -7.00000000e+00 
 2.20000000e+02 -5.24399015e-03  2.20000000e+02 -1.15367783e-03  2.20000000e+02 -7.00000000e+00 
 2.25000000e+02 -5.47284023e-03  2.25000000e+02 -1.20402485e-03  2.25000000e+02 -7.00000000e+00 
 2.30000000e+02 -5.70658407e-03  2.30000000e+02 -1.25544850e-03  2.30000000e+02 -7.00000000e+00 
 2.35000000e+02 -5.94522164e-03  2.35000000e+02 -1.30794876e-03  2.35000000e+02 -7.00000000e+00 
 2.40000000e+02 -6.18875292e-03  2.40000000e+02 -1.36152564e-03  2.40000000e+02 -7.00000000e+00 
 2.45000000e+02 -6.43717792e-03  2.45000000e+02 -1.41617914e-03  2.45000000e+02 -7.00000000e+00 
 2.50000000e+02 -6.69049662e-03  2.50000000e+02 -1.47190926e-03  2.50000000e+02 -7.00000000e+00 
 2.55000000e+02 -6.94870901e-03  2.55000000e+02 -1.52871598e-03  2.55000000e+02 -7.00000000e+00 
 2.60000000e+02 -7.21181507e-03  2.60000000e+02 -1.58659932e-03  2.60000000e+02 -7.00000000e+00 
 2.65000000e+02 -7.47981481e-03  2.65000000e+02 -1.64555926e-03  2.65000000e+02 -7.00000000e+00 
 2.70000000e+02 -7.75270821e-03  2.70000000e+02 -1.70559581e-03  2.70000000e+02 -7.00000000e+00 
 2.75000000e+02 -8.03049526e-03  2.75000000e+02 -1.76670896e-03  2.75000000e+02 -7.00000000e+00 
 2.80000000e+02 -8.31317596e-03  2.80000000e+02 -1.82889871e-03  2.80000000e+02 -7.00000000e+00 
 2.85000000e+02 -8.60075030e-03  2.85000000e+02 -1.89216507e-03  2.85000000e+02 -7.00000000e+00 
 2.90000000e+02 -8.89321827e-03  2.90000000e+02 -1.95650802e-03  2.90000000e+02 -7.00000000e+00 
 2.95000000e+02 -9.19057987e-03  2.95000000e+02 -2.02192757e-03  2.95000000e+02 -7.00000000e+00 
 3.00000000e+02 -9.49283510e-03  3.00000000e+02 -2.08842372e-03  3.00000000e+02 -7.00000000e+00 
 3.05000000e+02 -9.79998394e-03  3.05000000e+02 -2.15599647e-03  3.05000000e+02 -7.00000000e+00 
 3.10000000e+02 -1.01120264e-02  3.10000000e+02 -2.22464581e-03  3.10000000e+02 -7.00000000e+00 
 3.15000000e+02 -1.04289625e-02  3.15000000e+02 -2.29437174e-03  3.15000000e+02 -7.00000000e+00 
 3.20000000e+02 -1.07507921e-02  3.20000000e+02 -2.36517427e-03  3.20000000e+02 -7.00000000e+00 
 3.25000000e+02 -1.10775154e-02  3.25000000e+02 -2.43705339e-03  3.25000000e+02 -7.00000000e+00 
 3.30000000e+02 -1.14091323e-02  3.30000000e+02 -2.51000910e-03  3.30000000e+02 -7.00000000e+00 
 3.35000000e+02 -1.17456427e-02  3.35000000e+02 -2.58404140e-03  3.35000000e+02 -7.00000000e+00 
 3.40000000e+02 -1.20870468e-02  3.40000000e+02 -2.65915029e-03  3.40000000e+02 -7.00000000e+00 
 3.45000000e+02 -1.24333444e-02  3.45000000e+02 -2.73533577e-03  3.45000000e+02 -7.00000000e+00 
 3.50000000e+02 -1.27845356e-02  3.50000000e+02 -2.81259784e-03  3.50000000e+02 -7.00000000e+00 
 3.55000000e+02 -1.31406204e-02  3.55000000e+02 -2.89093649e-03  3.55000000e+02 -7.00000000e+00 
 3.60000000e+02 -1.35015988e-02  3.60000000e+02 -2.97035174e-03  3.60000000e+02 -7.00000000e+00 
 3.65000000e+02 -1.38674708e-02  3.65000000e+02 -3.05084357e-03  3.65000000e+02 -7.00000000e+00 
 3.70000000e+02 -1.42382363e-02  3.70000000e+02 -3.13241198e-03  3.70000000e+02 -7.00000000e+00 
 3.75000000e+02 -1.46138954e-02  3.75000000e+02 -3.21505698e-03  3.75000000e+02 -7.00000000e+00 
 3.80000000e+02 -1.49944480e-02  3.80000000e+02 -3.29877857e-03  3.80000000e+02 -7.00000000e+00 
 3.85000000e+02 -1.53798943e-02  3.85000000e+02 -3.38357674e-03  3.85000000e+02 -7.00000000e+00 
 3.90000000e+02 -1.57702341e-02  3.90000000e+02 -3.46945150e-03  3.90000000e+02 -7.00000000e+00 
 3.95000000e+02 -1.61654674e-02  3.95000000e+02 -3.55640284e-03  3.95000000e+02 -7.00000000e+00 
 4.00000000e+02 -1.65655944e-02  4.00000000e+02 -3.64443076e-03  4.00000000e+02 -7.00000000e+00 
 4.05000000e+02 -1.69706148e-02  4.05000000e+02 -3.73353527e-03  4.05000000e+02 -7.00000000e+00 
 4.10000000e+02 -1.73805289e-02  4.10000000e+02 -3.82371636e-03  4.10000000e+02 -7.00000000e+00 
 4.15000000e+02 -1.77953365e-02  4.15000000e+02 -3.91497403e-03  4.15000000e+02 -7.00000000e+00 
 4.20000000e+02 -1.82150376e-02  4.20000000e+02 -4.00730828e-03  4.20000000e+02 -7.00000000e+00 
 4.25000000e+02 -1.86396324e-02  4.25000000e+02 -4.10071912e-03  4.25000000e+02 -7.00000000e+00 
 4.30000000e+02 -1.90691206e-02  4.30000000e+02 -4.19520653e-03  4.30000000e+02 -7.00000000e+00 
 4.35000000e+02 -1.95035024e-02  4.35000000e+02 -4.29077053e-03  4.35000000e+02 -7.00000000e+00 
 4.40000000e+02 -1.99427778e-02  4.40000000e+02 -4.38741111e-03  4.40000000e+02 -7.00000000e+00 
 4.45000000e+02 -2.03869467e-02  4.45000000e+02 -4.48512827e-03  4.45000000e+02 -7.00000000e+00 
 4.50000000e+02 -2.08360092e-02  4.50000000e+02 -4.58392201e-03  4.50000000e+02 -7.00000000e+00 
 4.55000000e+02 -2.12899652e-02  4.55000000e+02 -4.68379233e-03  4.55000000e+02 -7.00000000e+00 
 4.60000000e+02 -2.17488147e-02  4.60000000e+02 -4.78473924e-03  4.60000000e+02 -7.00000000e+00 
 4.65000000e+02 -2.22125578e-02  4.65000000e+02 -4.88676272e-03  4.65000000e+02 -7.00000000e+00 
 4.70000000e+02 -2.26811944e-02  4.70000000e+02 -4.98986278e-03  4.70000000e+02 -7.00000000e+00 
 4.75000000e+02 -2.31547246e-02  4.75000000e+02 -5.09403942e-03  4.75000000e+02 -7.00000000e+00 
 4.80000000e+02 -2.36331483e-02  4.80000000e+02 -5.19929264e-03  4.80000000e+02 -7.00000000e+00 
 4.85000000e+02 -2.41164656e-02  4.85000000e+02 -5.30562243e-03  4.85000000e+02 -7.00000000e+00 
 4.90000000e+02 -2.46046764e-02  4.90000000e+02 -5.41302881e-03  4.90000000e+02 -7.00000000e+00 
 4.95000000e+02 -2.50977808e-02  4.95000000e+02 -5.52151177e-03  4.95000000e+02 -7.00000000e+00 
 5.00000000e+02 -2.55957786e-02  5.00000000e+02 -5.63107130e-03  5.00000000e+02 -7.00000000e+00 
 0.00000000e+00 -0.00000000e+00  0.00000000e+00 -5.81395349e-28  0.00000000e+00 -6.00000000e+00 
 5.00000000e+00 -3.03182345e-04  5.00000000e+00 -3.00377012e-04  5.00000000e+00 -6.00000000e+00 
 1.00000000e+01 -8.29765366e-04  1.00000000e+01 -4.24000438e-04  1.00000000e+01 -6.00000000e+00 
 1.50000000e+01 -1.17939417e-03  1.50000000e+01 -4.28837695e-04  1.50000000e+01 -6.00000000e+00 
 2.00000000e+01 -1.39889027e-03  2.00000000e+01 -4.17231364e-04  2.00000000e+01 -6.00000000e+00 
 2.50000000e+01 -1.54696918e-03  2.50000000e+01 -4.09502459e-04  2.50000000e+01 -6.00000000e+00 
 3.00000000e+01 -1.65821082e-03  3.00000000e+01 -4.08247936e-04  3.00000000e+01 -6.00000000e+00 
 3.50000000e+01 -1.75257137e-03  3.50000000e+01 -4.12851186e-04  3.50000000e+01 -6.00000000e+00 
 4.00000000e+01 -1.84106256e-03  4.00000000e+01 -4.22208448e-04  4.00000000e+01 -6.00000000e+00 
 4.50000000e+01 -1.92969626e-03  4.50000000e+01 -4.35372082e-04  4.50000000e+01 -6.00000000e+00 
 5.00000000e+01 -2.02170144e-03  5.00000000e+01 -4.51631580e-04  5.00000000e+01 -6.00000000e+00 
 5.50000000e+01 -2.11876466e-03  5.50000000e+01 -4.70475445e-04  5.50000000e+01 -6.00000000e+00 
 6.00000000e+01 -2.22172062e-03  6.00000000e+01 -4.91538926e-04  6.00000000e+01 -6.00000000e+00 
 6.50000000e+01 -2.33093660e-03  6.50000000e+01 -5.14560900e-04  6.50000000e+01 -6.00000000e+00 
 7.00000000e+01 -2.44652712e-03  7.00000000e+01 -5.39352456e-04  7.00000000e+01 -6.00000000e+00 
 7.50000000e+01 -2.56847402e-03  7.50000000e+01 -5.65774969e-04  7.50000000e+01 -6.00000000e+00 
 8.00000000e+01 -2.69669359e-03  8.00000000e+01 -5.93725062e-04  8.00000000e+01 -6.00000000e+00 
 8.50000000e+01 -2.83107381e-03  8.50000000e+01 -6.23124313e-04  8.50000000e+01 -6.00000000e+00 
 9.00000000e+01 -2.97149463e-03  9.00000000e+01 -6.53912198e-04  9.00000000e+01 -6.00000000e+00 
 9.50000000e+01 -3.11489622e-03  9.50000000e+01 -6.85377695e-04  9.50000000e+01 -6.00000000e+00 
 1.00000000e+02 -3.26707714e-03  1.00000000e+02 -7.18820923e-04  1.00000000e+02 -6.00000000e+00 
 1.05000000e+02 -3.42500045e-03  1.05000000e+02 -7.53540744e-04  1.05000000e+02 -6.00000000e+00 
 1.10000000e+02 -3.58854350e-03  1.10000000e+02 -7.89505388e-04  1.10000000e+02 -6.00000000e+00 
 1.15000000e+02 -3.75762793e-03  1.15000000e+02 -8.26694532e-04  1.15000000e+02 -6.00000000e+00 
 1.20000000e+02 -3.93218487e-03  1.20000000e+02 -8.65091067e-04  1.20000000e+02 -6.00000000e+00 
 1.25000000e+02 -4.11215396e-03  1.25000000e+02 -9.04680460e-04  1.25000000e+02 -6.00000000e+00 
 1.30000000e+02 -4.29748226e-03  1.30000000e+02 -9.45450271e-04  1.30000000e+02 -6.00000000e+00 
 1.35000000e+02 -4.48812333e-03  1.35000000e+02 -9.87389776e-04  1.35000000e+02 -6.00000000e+00 
