 0.00000000e+00 -0.00000000e+00  0.00000000e+00 -4.20168067e-27  0.00000000e+00 -1.50000000e+00 
 5.00000000e+00 -2.19106495e-03  5.00000000e+00 -2.12696981e-03  5.00000000e+00 -1.50000000e+00 
 1.00000000e+01 -5.99633652e-03  1.00000000e+01 -2.94413140e-03  1.00000000e+01 -1.50000000e+00 
 1.50000000e+01 -8.51703523e-03  1.50000000e+01 -2.92652534e-03  1.50000000e+01 -1.50000000e+00 
 2.00000000e+01 -1.00710442e-02  2.00000000e+01 -2.80235689e-03  2.00000000e+01 -1.50000000e+00 
 2.50000000e+01 -1.10554900e-02  2.50000000e+01 -2.70541931e-03  2.50000000e+01 -1.50000000e+00 
 3.00000000e+01 -1.17001681e-02  3.00000000e+01 -2.64655286e-03  3.00000000e+01 -1.50000000e+00 
 3.50000000e+01 -1.21412038e-02  3.50000000e+01 -2.61726509e-03  3.50000000e+01 -1.50000000e+00 
 4.00000000e+01 -1.24583906e-02  4.00000000e+01 -2.60789847e-03  4.00000000e+01 -1.50000000e+00 
 4.50000000e+01 -1.26994541e-02  4.50000000e+01 -2.61122233e-03  4.50000000e+01 -1.50000000e+00 
 5.00000000e+01 -1.28933113e-02  5.00000000e+01 -2.62239415e-03  5.00000000e+01 -1.50000000e+00 
 5.50000000e+01 -1.30701400e-02  5.50000000e+01 -2.63634539e-03  5.50000000e+01 -1.50000000e+00 
 6.00000000e+01 -1.32113296e-02  6.00000000e+01 -2.65591793e-03  6.00000000e+01 -1.50000000e+00 
 6.50000000e+01 -1.33424288e-02  6.50000000e+01 -2.67683875e-03  6.50000000e+01 -1.50000000e+00 
 7.00000000e+01 -1.34671005e-02  7.00000000e+01 -2.69853001e-03  7.00000000e+01 -1.50000000e+00 
 7.50000000e+01 -1.35876723e-02  7.50000000e+01 -2.72066000e-03  7.50000000e+01 -1.50000000e+00 
 8.00000000e+01 -1.37056711e-02  8.00000000e+01 -2.74304579e-03  8.00000000e+01 -1.50000000e+00 
 8.50000000e+01 -1.38221233e-02  8.50000000e+01 -2.76559367e-03  8.50000000e+01 -1.50000000e+00 
